replicate pan_genome core_genome
0 26 18
1 27 21
2 25 20
3 25 23
4 31 17
5 30 17
6 26 22
7 28 19
8 30 19
9 28 20
10 31 17
11 30 16
12 31 17
13 24 20
14 24 21
15 32 17
16 26 19
17 26 21
18 28 19
19 32 17
20 26 20
21 32 17
22 31 18
23 25 21
24 29 17
25 30 19
26 27 21
27 29 19
28 30 18
29 28 20
30 26 20
31 25 19
32 32 17
33 26 22
34 31 17
35 29 19
36 26 18
37 27 22
38 27 19
39 27 20
40 31 17
41 28 18
42 31 18
43 27 20
44 30 18
45 24 21
46 23 20
47 25 21
48 24 22
49 28 19
50 29 19
51 30 18
52 29 20
53 28 21
54 27 21
55 29 18
56 26 21
57 26 20
58 26 23
59 29 20
60 25 23
61 28 20
62 27 21
63 30 19
64 31 15
65 29 19
66 27 21
67 29 18
68 24 23
69 28 20
70 31 17
71 25 20
72 30 16
73 32 16
74 28 21
75 25 22
76 27 21
77 30 18
78 28 16
79 29 19
80 29 19
81 28 20
82 28 20
83 30 19
84 29 20
85 31 18
86 33 16
87 26 19
88 28 19
89 25 21
90 32 14
91 28 17
92 33 15
93 30 18
94 29 20
95 30 17
96 32 17
97 27 20
98 35 13
99 31 18
