replicate pan_genome core_genome
0 20 24
1 25 23
2 26 23
3 26 22
4 25 22
5 27 22
6 25 24
7 27 22
8 27 22
9 23 26
10 24 24
11 18 25
12 23 23
13 25 23
14 32 17
15 23 26
16 29 20
17 23 24
18 26 21
19 24 23
20 26 22
21 23 22
22 20 24
23 23 24
24 28 21
25 27 21
26 20 26
27 26 22
28 26 23
29 25 23
30 25 24
31 22 22
32 27 20
33 20 27
34 27 22
35 26 21
36 27 22
37 21 25
38 22 25
39 27 19
40 26 21
41 25 22
42 23 22
43 27 19
44 22 24
45 29 19
46 31 18
47 28 19
48 24 22
49 28 20
50 25 23
51 25 22
52 23 23
53 25 21
54 28 20
55 25 23
56 24 22
57 22 26
58 23 24
59 26 22
60 22 23
61 25 21
62 28 21
63 25 24
64 27 20
65 31 18
66 22 23
67 29 18
68 21 23
69 27 21
70 25 21
71 22 22
72 26 22
73 21 22
74 27 20
75 21 23
76 23 24
77 25 23
78 21 25
79 21 25
80 23 23
81 24 23
82 31 16
83 25 22
84 23 24
85 26 21
86 26 23
87 24 21
88 32 17
89 23 24
90 20 25
91 26 23
92 26 20
93 26 20
94 23 23
95 24 24
96 27 22
97 25 22
98 27 21
99 22 25
