replicate pan_genome core_genome
0 26 21
1 25 22
2 24 24
3 22 24
4 24 25
5 25 23
6 25 23
7 29 20
8 28 20
9 23 22
10 21 23
11 25 21
12 26 20
13 21 25
14 26 22
15 22 25
16 26 22
17 27 20
18 20 24
19 25 22
20 20 27
21 24 23
22 27 21
23 21 22
24 22 25
25 28 18
26 25 21
27 27 20
28 24 22
29 30 19
30 34 15
31 23 25
32 23 25
33 22 26
34 28 21
35 25 24
36 23 20
37 23 26
38 28 20
39 27 21
40 22 26
41 24 22
42 26 20
43 27 21
44 25 22
45 25 22
46 26 21
47 23 23
48 25 24
49 24 22
50 25 24
51 25 21
52 25 22
53 27 22
54 24 23
55 20 25
56 23 23
57 23 24
58 26 21
59 22 24
60 25 23
61 26 21
62 22 26
63 24 25
64 23 22
65 26 22
66 25 23
67 21 25
68 27 19
69 22 25
70 24 24
71 24 23
72 25 23
73 24 24
74 24 22
75 26 22
76 22 23
77 25 22
78 22 22
79 27 20
80 26 22
81 18 27
82 25 22
83 23 24
84 26 23
85 29 20
86 27 22
87 26 22
88 27 21
89 21 25
90 22 25
91 18 27
92 26 22
93 24 25
94 25 19
95 26 22
96 27 22
97 25 24
98 17 30
99 24 22
